ID,Name,Parameter,Language,Frequency,Confidence,References
hal,SVO,"Order of Subject, Object and Verb",Halia,,,Allen and Allen 1965
hlu,VSO,"Order of Subject, Object and Verb",Halkomelem (Upriver),,,Galloway 1993
ham,SOV,"Order of Subject, Object and Verb",Hamtai,,,Oates and Oates 1968
hhu,SOV,"Order of Subject, Object and Verb",Hanga Hundi,,,Wendel 1993
hat,SVO,"Order of Subject, Object and Verb",Hatam,,,Reesink 1999
hau,SVO,"Order of Subject, Object and Verb",Hausa,,,Migeod 1914;Newman 2000;Smirnova 1982;Kraft 1963
haw,VSO,"Order of Subject, Object and Verb",Hawaiian,,,Elbert and Pukui 1979
hya,SVO,"Order of Subject, Object and Verb",Haya,,,Byarushengo 1977
hay,SOV,"Order of Subject, Object and Verb",Hayu,,,Michailovsky 1988
hdi,VSO,"Order of Subject, Object and Verb",Hdi,,,Frajzyngier and Shay 2002
heb,SVO,"Order of Subject, Object and Verb",Hebrew (Modern),,,Glinert 1989
heh,SVO,"Order of Subject, Object and Verb",Hehe,,,Velten 1899a
hei,VSO,"Order of Subject, Object and Verb",Heiltsuk,,,Rath 1981
hem,SVO,"Order of Subject, Object and Verb",Hemba,,,Vandermeiren 1912
hid,SOV,"Order of Subject, Object and Verb",Hidatsa,,,Matthews 1965
hil,VSO,"Order of Subject, Object and Verb",Hiligaynon,,,Wolfenden 1975
hin,SOV,"Order of Subject, Object and Verb",Hindi,,,McGregor 1977
hix,OVS,"Order of Subject, Object and Verb",Hixkaryana,,,Derbyshire 1985;Derbyshire 1979
lic,SVO,"Order of Subject, Object and Verb",Hlai (Baoding),,,Ostapirat 2008
hmo,SVO,"Order of Subject, Object and Verb",Hmong Njua,,,Lyman 1979;Harriehausen 1990
huc,SVO,"Order of Subject, Object and Verb",=|Hoan,,,Anonymous 6
hoa,VSO,"Order of Subject, Object and Verb",Hoava,,,Davis 2003
hol,SVO,"Order of Subject, Object and Verb",Holoholo,,,Coupez 1955
hop,SOV,"Order of Subject, Object and Verb",Hopi,,,Kalectaca 1978
hua,SOV,"Order of Subject, Object and Verb",Hua,,,Haiman 1980
hlp,SOV,"Order of Subject, Object and Verb",Hualapai,,,Redden 1976;Watahomigie et al. 1982
htc,SVO,"Order of Subject, Object and Verb",Huastec,,,Edmonson 1988
hve,SVO,"Order of Subject, Object and Verb",Huave (San Mateo del Mar),,,Stairs and Hollenbach 1981
hui,SOV,"Order of Subject, Object and Verb",Huichol,,,
hmi,SOV,"Order of Subject, Object and Verb",Huitoto (Minica),,,Minor et al. 1982
hum,SOV,"Order of Subject, Object and Verb",Huitoto (Murui),,,Burtch and Wise 1968
hnd,SVO,"Order of Subject, Object and Verb",Hunde,,,Kahombo 1992
hun,No dominant order,"Order of Subject, Object and Verb",Hungarian,,,Kenesei et al. 1998;Benkö and Imre 1972;Kiefer 1967
hzb,SOV,"Order of Subject, Object and Verb",Hunzib,,,van den Berg 1995
hpd,SOV,"Order of Subject, Object and Verb",Hup,,,Epps 2008
hup,No dominant order,"Order of Subject, Object and Verb",Hupa,,,Goddard 1911;Goddard 1903
iaa,SVO,"Order of Subject, Object and Verb",Iaai,,,Tryon 1968
iat,SOV,"Order of Subject, Object and Verb",Iatmul,,,Staalsen 1972
iba,SVO,"Order of Subject, Object and Verb",Iban,,,Omar 1981
ice,SVO,"Order of Subject, Object and Verb",Icelandic,,,Einarsson 1945
ido,No dominant order,"Order of Subject, Object and Verb",Idoma,,,Abraham 1951
idn,SOV,"Order of Subject, Object and Verb",Iduna,,,Huckett 1974
mxe,SVO,"Order of Subject, Object and Verb",Ifira-Mele,,,
ifm,SVO,"Order of Subject, Object and Verb",Ifumu,,,Makouta Mboukou 1977
igb,SVO,"Order of Subject, Object and Verb",Igbo,,,Carrell 1970
ige,SVO,"Order of Subject, Object and Verb",Igede,,,Bergman 1981
iha,SOV,"Order of Subject, Object and Verb",Iha,,,Voorhoeve 1975
ijo,SOV,"Order of Subject, Object and Verb",Ijo (Kolokuma),,,Williamson 1965
ik,VSO,"Order of Subject, Object and Verb",Ik,,,Tucker 1973;Serzisko 1989
ika,SOV,"Order of Subject, Object and Verb",Ika,,,Frank 1990
ila,SVO,"Order of Subject, Object and Verb",Ila,,,Smith 1907
ilo,VSO,"Order of Subject, Object and Verb",Ilocano,,,Rubino 1998b
ina,No dominant order,"Order of Subject, Object and Verb",Inanwatan,,,de Vries 1996
ind,SVO,"Order of Subject, Object and Verb",Indonesian,,,Macdonald 1976;Sneddon 1996a
igs,SVO,"Order of Subject, Object and Verb",Ingessana,,,Bender 1989
inn,SOV,"Order of Subject, Object and Verb",Innamincka,,,Breen 2004
iqu,SVO,"Order of Subject, Object and Verb",Iquito,,,Eastman and Eastman 1963
irx,SOV,"Order of Subject, Object and Verb",Iranxe,,,Meader 1967
irq,SOV,"Order of Subject, Object and Verb",Iraqw,,,Whiteley 1958;Nordbustad 1988;Tucker and Bryan 1966
irr,SVO,"Order of Subject, Object and Verb",Irarutu,,,Matsumura 1991a
iri,VSO,"Order of Subject, Object and Verb",Irish,,,Ó Dochartaigh 1992;Stenson 1981
isa,SOV,"Order of Subject, Object and Verb",I'saka,,,Donohue and San Roque 2002
