ID,Name,Parameter,Language,Frequency,Confidence,References
ik,Subject affixes on verb,Expression of Pronominal Subjects,Ik,,,Tucker 1972
ika,Subject affixes on verb,Expression of Pronominal Subjects,Ika,,,Frank 1990
ila,Subject affixes on verb,Expression of Pronominal Subjects,Ila,,,Smith 1907
imo,Optional pronouns in subject position,Expression of Pronominal Subjects,Imonda,,,Seiler 1985
ina,Subject affixes on verb,Expression of Pronominal Subjects,Inanwatan,,,de Vries 1996
ind,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Indonesian,,,Sneddon 1996a;Danusugondo 1975
ing,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Ingush,,,
irq,Subject affixes on verb,Expression of Pronominal Subjects,Iraqw,,,Whiteley 1958;Tucker and Bryan 1966;Nordbustad 1988
iri,Mixed,Expression of Pronominal Subjects,Irish,,,Dillon and Ó Cróinin 1961;Ó Siadhail 1989
isa,Subject affixes on verb,Expression of Pronominal Subjects,I'saka,,,Donohue and San Roque 2002
ita,Subject affixes on verb,Expression of Pronominal Subjects,Italian,,,Maiden and Robustelli 2000
ite,Subject affixes on verb,Expression of Pronominal Subjects,Itelmen,,,Volodin 1976;Georg and Volodin 1999
ito,Subject affixes on verb,Expression of Pronominal Subjects,Itonama,,,Camp and Liccardi 1967
izi,Subject affixes on verb,Expression of Pronominal Subjects,Izi,,,Meier et al. 1975
jab,Subject affixes on verb,Expression of Pronominal Subjects,Jabêm,,,Dempwolff 1939
jak,Mixed,Expression of Pronominal Subjects,Jakaltek,,,Craig 1977
jam,Subject affixes on verb,Expression of Pronominal Subjects,Jaminjung,,,Schultze-Berndt 2000
jpn,Optional pronouns in subject position,Expression of Pronominal Subjects,Japanese,,,Hinds 1986
jwr,Mixed,Expression of Pronominal Subjects,Jarawara,,,Dixon 2003
jng,Optional pronouns in subject position,Expression of Pronominal Subjects,Jingpho,,,Hertz 1917
juh,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Ju|'hoan,,,Dickens 1992;Snyman 1970
juk,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Jukun,,,Shimuzu 1980
jmo,Subject affixes on verb,Expression of Pronominal Subjects,Jur Mödö,,,Persson 1981;Persson and Persson 1991
kab,Subject affixes on verb,Expression of Pronominal Subjects,Kabardian,,,Colarusso 1989
kby,Optional pronouns in subject position,Expression of Pronominal Subjects,Kabiyé,,,Lebikaza 1999
kdw,Subject affixes on verb,Expression of Pronominal Subjects,Kadiwéu,,,Sandalo 1997
kgr,Subject affixes on verb,Expression of Pronominal Subjects,Kagulu,,,Last 1886
krr,Subject affixes on verb,Expression of Pronominal Subjects,Kairiru,,,Wivell 1981
kae,Subject affixes on verb,Expression of Pronominal Subjects,Kaki Ae,,,Clifton 1997
kma,Subject affixes on verb,Expression of Pronominal Subjects,Kamaiurá,,,Seki 2000
kmz,Subject affixes on verb,Expression of Pronominal Subjects,Kamasau,,,Sanders and Sanders 1994
kms,Subject affixes on verb,Expression of Pronominal Subjects,Kamass,,,Künnap 1999b
kba,Subject affixes on verb,Expression of Pronominal Subjects,Kamba,,,Whiteley and Muli 1962
kam,Subject affixes on verb,Expression of Pronominal Subjects,Kambera,,,Klamer 1998
kan,Subject affixes on verb,Expression of Pronominal Subjects,Kana,,,Ikoro 1996
knd,Subject affixes on verb,Expression of Pronominal Subjects,Kannada,,,Bright 1958;Schiffman 1983;Sridhar 1990
kno,Subject affixes on verb,Expression of Pronominal Subjects,Kanoê,,,Bacelar 2004
knr,Subject affixes on verb,Expression of Pronominal Subjects,Kanuri,,,Lukas 1937;Hutchison 1976;Hutchison 1981
krc,Subject affixes on verb,Expression of Pronominal Subjects,Karachay-Balkar,,,Seegmiller 1996
kmj,Subject affixes on verb,Expression of Pronominal Subjects,Karimojong,,,Novelli 1985
kyr,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Karkar-Yuri,,,Rigden n.d. (a)
kaa,Mixed,Expression of Pronominal Subjects,Karó (Arára),,,Gabas 1999
krk,Subject affixes on verb,Expression of Pronominal Subjects,Karok,,,Bright 1957
kas,Subject pronouns in different position,Expression of Pronominal Subjects,Kashmiri,,,Wali and Koul 1997
kau,Mixed,Expression of Pronominal Subjects,Kaulong,,,Ross 2002i
kyl,Optional pronouns in subject position,Expression of Pronominal Subjects,Kayah Li (Eastern),,,Solnit 1986
kay,Optional pronouns in subject position,Expression of Pronominal Subjects,Kayardild,,,Evans 1995
kel,Obligatory pronouns in subject position,Expression of Pronominal Subjects,Kele,,,Ross 2002k
ken,Mixed,Expression of Pronominal Subjects,Kenga,,,Vandame 1968
ksa,Subject affixes on verb,Expression of Pronominal Subjects,Keresan (Santa Ana),,,Davis 1960;Davis 1964
kew,Subject affixes on verb,Expression of Pronominal Subjects,Kewa,,,Franklin 1971
